Song,Singer,Link
Slime You Out,Drake,https://genius.com/Drake-slime-you-out-lyrics
WY@,Brent Faiyaz,https://genius.com/Brent-faiyaz-wy-lyrics
​get him back!,Olivia Rodrigo,https://genius.com/Olivia-rodrigo-get-him-back-lyrics
Out Of The Woods,Taylor Swift,https://genius.com/Taylor-swift-out-of-the-woods-lyrics
My Love Mine All Mine,Mitski,https://genius.com/Mitski-my-love-mine-all-mine-lyrics
​lacy,Olivia Rodrigo,https://genius.com/Olivia-rodrigo-lacy-lyrics
Lose Yourself,Eminem,https://genius.com/Eminem-lose-yourself-lyrics
​​the grudge,Olivia Rodrigo,https://genius.com/Olivia-rodrigo-the-grudge-lyrics
Bongos,Cardi B & Megan Thee Stallion,https://genius.com/Cardi-b-and-megan-thee-stallion-bongos-lyrics
Shake It Off,Taylor Swift,https://genius.com/Taylor-swift-shake-it-off-lyrics
